iter	Passed	Remaining
0	3	3558
1	4	2034
2	4	1527
3	5	1261
4	5	1109
5	6	1006
6	6	933
7	7	876
8	7	828
9	7	789
10	8	761
11	8	736
12	9	713
13	9	694
14	10	678
15	10	663
16	11	650
17	11	640
18	12	630
19	12	620
20	13	611
21	13	603
22	14	596
23	14	589
24	14	582
25	15	576
26	15	571
27	16	565
28	16	560
29	17	557
30	17	553
31	18	551
32	18	547
33	19	544
34	19	541
35	20	539
36	20	537
37	21	535
38	21	532
39	22	529
40	22	528
41	23	526
42	23	523
43	23	520
44	24	518
45	24	516
46	25	514
47	25	512
48	26	510
49	26	507
50	27	505
51	27	503
52	28	501
53	28	499
54	29	498
55	29	496
56	29	494
57	30	493
58	30	491
59	31	489
60	31	487
61	32	487
62	32	486
63	33	484
64	33	483
65	34	482
66	34	481
67	35	479
68	35	478
69	35	477
70	36	475
71	36	474
72	37	473
73	37	472
74	38	471
75	38	470
76	39	469
77	39	468
78	40	467
79	40	465
80	40	464
81	41	463
82	41	460
83	42	459
84	42	458
85	43	457
86	43	455
87	43	455
88	44	454
89	44	451
90	45	450
91	45	449
92	45	446
93	46	446
94	46	445
95	47	444
96	47	443
97	48	443
98	48	442
99	49	441
100	49	440
101	49	439
102	50	439
103	50	438
104	51	438
105	51	437
106	52	437
107	52	436
108	53	435
109	53	434
110	54	434
111	54	433
112	55	432
113	55	432
114	56	431
115	56	430
116	56	430
117	57	429
118	57	428
119	58	428
120	58	427
121	59	426
122	59	426
123	60	425
124	60	424
125	61	424
126	61	423
127	62	422
128	62	422
129	63	421
130	63	421
131	63	420
132	64	419
133	64	419
134	65	418
135	65	417
136	66	417
137	66	416
138	67	415
139	67	414
140	67	414
141	68	412
142	68	411
143	69	410
144	69	410
145	70	409
146	70	408
147	70	408
148	71	407
149	71	406
150	72	406
151	72	405
152	73	404
153	73	403
154	73	403
155	74	402
156	74	401
157	75	401
158	75	400
159	76	400
160	76	399
161	77	399
162	77	398
163	78	397
164	78	397
165	78	396
166	79	395
167	79	395
168	80	394
169	80	394
170	81	393
171	81	392
172	82	392
173	82	391
174	82	391
175	83	390
176	83	390
177	84	389
178	84	389
179	85	388
180	85	387
181	86	387
182	86	386
183	87	386
184	87	385
185	87	385
186	88	384
187	88	383
188	89	383
189	89	382
190	90	381
191	90	381
192	91	380
193	91	380
194	91	379
195	92	378
196	92	378
197	93	377
198	93	376
199	94	376
200	94	375
201	94	375
202	95	374
203	95	374
204	96	373
205	96	372
206	97	372
207	97	371
208	98	371
209	98	370
210	99	370
211	99	369
212	99	369
213	100	368
214	100	367
215	101	367
216	101	366
217	102	366
218	102	365
219	102	364
220	103	364
221	103	363
222	104	363
223	104	362
224	105	361
225	105	361
226	105	360
227	106	360
228	106	359
229	107	358
230	107	358
231	108	357
232	108	357
233	108	356
234	109	355
235	109	355
236	110	354
237	110	354
238	111	353
239	111	353
240	111	352
241	112	351
242	112	351
243	113	350
244	113	350
245	114	349
246	114	349
247	115	348
248	115	348
249	115	347
250	116	347
251	116	346
252	117	346
253	117	345
254	118	345
255	118	344
256	118	343
257	119	343
258	119	342
259	120	342
260	120	341
261	121	341
262	121	340
263	122	340
264	122	339
265	122	339
266	123	338
267	123	337
268	124	337
269	124	337
270	125	336
271	125	336
272	126	335
273	126	335
274	126	334
275	127	334
276	127	333
277	128	333
278	128	332
279	129	332
280	129	331
281	130	331
282	130	330
283	130	330
284	131	329
285	132	329
286	132	329
287	133	329
288	133	328
289	134	328
290	134	327
291	135	327
292	135	327
293	135	326
294	136	325
295	136	325
296	137	324
297	137	324
298	138	323
299	138	323
300	138	322
301	139	322
302	139	321
303	140	321
304	140	320
305	141	320
306	141	319
307	142	319
308	142	318
309	142	318
310	143	317
311	143	317
312	144	316
313	144	316
314	145	315
315	145	315
316	146	314
317	146	314
318	146	313
319	147	313
320	147	312
321	148	312
322	148	311
323	149	311
324	149	310
325	150	310
326	150	309
327	150	309
328	151	308
329	151	308
330	152	307
331	152	307
332	153	306
333	153	305
334	153	305
335	154	304
336	154	304
337	155	303
338	155	303
339	156	302
340	156	302
341	156	301
342	157	301
343	157	301
344	158	300
345	158	300
346	159	299
347	159	299
348	160	298
349	160	298
350	161	297
351	161	297
352	161	296
353	162	296
354	162	295
355	163	295
356	163	294
357	164	294
358	164	293
359	164	293
360	165	292
361	165	292
362	166	291
363	166	291
364	167	290
365	167	290
366	167	289
367	168	289
368	168	288
369	169	288
370	169	287
371	170	287
372	170	286
373	171	286
374	171	285
375	172	285
376	172	285
377	172	284
378	173	284
379	173	283
380	174	283
381	174	282
382	175	282
383	175	281
384	176	281
385	176	280
386	176	280
387	177	279
388	177	279
389	178	278
390	178	278
391	179	277
392	179	277
393	179	276
394	180	276
395	180	275
396	181	275
397	181	274
398	181	274
399	182	273
400	182	273
401	183	272
402	183	272
403	184	271
404	184	271
405	184	270
406	185	270
407	185	269
408	186	269
409	186	268
410	187	268
411	187	267
412	188	267
413	188	266
414	188	266
415	189	265
416	189	265
417	190	264
418	190	264
419	191	263
420	191	263
421	192	263
422	192	262
423	192	262
424	193	261
425	193	261
426	194	260
427	194	260
428	195	259
429	195	259
430	195	258
431	196	258
432	196	257
433	197	257
434	197	256
435	198	256
436	198	255
437	198	255
438	199	254
439	199	254
440	200	253
441	200	253
442	200	252
443	201	252
444	201	251
445	202	251
446	202	250
447	203	250
448	203	250
449	204	249
450	204	249
451	205	248
452	205	248
453	205	247
454	206	247
455	206	246
456	207	246
457	207	245
458	207	245
459	208	244
460	208	244
461	209	243
462	209	243
463	210	242
464	210	242
465	211	241
466	211	241
467	211	240
468	212	240
469	212	239
470	213	239
471	213	238
472	213	238
473	214	237
474	214	237
475	215	236
476	215	236
477	216	235
478	216	235
479	216	235
480	217	234
481	217	234
482	218	233
483	218	233
484	219	232
485	219	232
486	220	231
487	220	231
488	221	231
489	221	230
490	221	230
491	222	229
492	222	229
493	223	228
494	223	228
495	224	227
496	224	227
497	224	226
498	225	226
499	225	225
500	226	225
501	226	224
502	227	224
503	227	223
504	227	223
505	228	222
506	228	222
507	229	221
508	229	221
509	229	220
510	230	220
511	230	219
512	231	219
513	231	218
514	232	218
515	232	218
516	232	217
517	233	217
518	233	216
519	234	216
520	234	215
521	235	215
522	235	214
523	236	214
524	236	214
525	236	213
526	237	213
527	237	212
528	238	212
529	238	211
530	239	211
531	239	210
532	239	210
533	240	209
534	240	209
535	241	208
536	241	208
537	242	207
538	242	207
539	242	206
540	243	206
541	243	205
542	244	205
543	244	205
544	245	204
545	245	204
546	245	203
547	246	203
548	246	202
549	247	202
550	247	201
551	248	201
552	248	200
553	249	200
554	249	200
555	249	199
556	250	199
557	250	198
558	251	198
559	251	197
560	252	197
561	252	196
562	252	196
563	253	195
564	253	195
565	254	194
566	254	194
567	255	193
568	255	193
569	255	193
570	256	192
571	256	192
572	257	191
573	257	191
574	257	190
575	258	190
576	258	189
577	259	189
578	259	188
579	260	188
580	260	187
581	260	187
582	261	186
583	261	186
584	262	186
585	262	185
586	263	185
587	263	184
588	264	184
589	264	183
590	264	183
591	265	182
592	265	182
593	266	181
594	266	181
595	267	180
596	267	180
597	267	180
598	268	179
599	268	179
600	269	178
601	269	178
602	270	177
603	270	177
604	270	176
605	271	176
606	271	175
607	272	175
608	272	175
609	273	174
610	273	174
611	273	173
612	274	173
613	274	172
614	275	172
615	275	171
616	276	171
617	276	170
618	276	170
619	277	169
620	277	169
621	278	169
622	278	168
623	279	168
624	279	167
625	280	167
626	280	166
627	280	166
628	281	165
629	281	165
630	282	165
631	282	164
632	283	164
633	283	163
634	284	163
635	284	162
636	284	162
637	285	161
638	285	161
639	286	161
640	286	160
641	287	160
642	287	159
643	288	159
644	288	158
645	289	158
646	289	157
647	289	157
648	290	157
649	290	156
650	291	156
651	291	155
652	292	155
653	292	154
654	292	154
655	293	153
656	293	153
657	294	152
658	294	152
659	295	152
660	295	151
661	296	151
662	296	150
663	297	150
664	297	149
665	297	149
666	298	148
667	298	148
668	299	148
669	299	147
670	300	147
671	300	146
