iter	Passed	Remaining
0	0	55
1	1	50
2	1	48
3	1	46
4	2	46
5	2	46
6	3	46
7	3	45
8	4	45
9	4	44
10	5	44
11	5	43
12	6	42
13	6	42
14	7	41
15	7	40
16	8	40
17	8	39
18	9	39
19	9	38
20	10	37
21	10	37
22	10	36
23	11	36
24	11	35
25	12	34
26	12	34
27	13	33
28	13	33
29	14	33
30	14	32
31	15	31
32	15	31
33	15	30
34	16	30
35	16	29
36	17	29
37	17	28
38	18	28
39	18	28
40	19	27
41	19	27
42	20	26
43	20	26
44	20	25
45	21	25
46	21	24
47	22	24
48	22	23
49	23	23
50	23	22
51	24	22
52	24	21
53	24	21
54	25	20
55	25	20
56	26	19
57	26	19
58	27	18
59	27	18
60	28	17
61	28	17
62	28	17
63	29	16
64	29	16
65	30	15
66	30	15
67	30	14
68	31	14
69	31	13
70	32	13
71	32	12
72	33	12
73	33	11
74	34	11
75	34	10
76	35	10
77	35	10
78	36	9
79	36	9
80	37	8
81	37	8
82	37	7
83	38	7
84	38	6
85	39	6
86	39	5
87	40	5
88	40	5
89	41	4
90	41	4
91	41	3
92	42	3
93	42	2
94	43	2
95	43	1
96	44	1
97	44	0
98	45	0
99	45	0
